tract,no_vehicle_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037101110,12.9,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4842,12329806.21,14765.649
06037101122,0.7,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4843,29088657.19,30028.21377
06037101220,5.4,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4844,7532651.157,12504.55213
06037101221,14.8,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4845,3874399.421,8938.421349
06037101222,21,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4846,3090537.726,9750.96042
06037101300,2.6,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4847,27694822.41,28700.87057
06037101400,14,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4848,67867979.11,41887.33237
06037102103,10.2,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,4849,12811195.38,16198.55183
06037102104,4.7,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,4850,17933361.96,27118.70816
06037102105,1.3,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,4851,5257057.125,9952.664202
06037102107,1.7,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4852,139121771.7,63442.65649
06037103101,2.4,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4853,21327764.94,24165.76692
06037103102,8.5,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4854,13323875.88,16273.24131
06037103201,12.5,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4855,21040409.23,18173.22396
06037103202,0,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,4856,51185007.79,44562.15066
06037103300,5.7,District 5,Los Angeles - Shadow Hills,SPA 2 - San Fernando,4857,66024681.05,37007.09802
06037103401,5,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4858,15045317.26,20208.48097
06037103402,1.5,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4859,11987350.84,14259.84716
06037104103,2,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,4860,10007491.69,12992.03731
06037104105,5.6,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4861,6295469.401,11639.69689
06037104108,16.1,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4862,11698537.27,18498.00494
06037104124,1.6,District 5,Unincorporated - Kagel/Lopez Canyons,SPA 2 - San Fernando,4863,47953358.18,37473.81413
06037104201,1,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4864,11778994.4,14691.89725
